Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
GEG5220,Alpine Environments: Physical Processes in the NZ Southern Alps,0,School of Geography,2013/14,SEM2
CCDM011,Information Technology Outsourcing,12,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
BBC3502,Computer Fundamentals and Programming,0,School of Engineering & Computer Science,2013/14,SEM1
BBC3914,English 1,1,School of Engineering & Computer Science,2013/14,SEM1
BBC3923,English 2,1,School of Engineering & Computer Science,2013/14,SEM2
BBC4102,Introduction to Electronic Systems,1,School of Engineering & Computer Science,2013/14,SEM2
BBC4104,Communication Skills,584,School of Engineering & Computer Science,2013/14,SEM2
BBC4111,Engineering Mathematics 2,478,School of Engineering & Computer Science,2013/14,SEM1
BBC4113,Discrete Techniques for Computing,266,School of Engineering & Computer Science,2013/14,SEM1
BBC4210,Electric and Magnetic Fields,338,School of Engineering & Computer Science,2013/14,SEM1
BBC4210,Electric and Magnetic Fields,319,School of Engineering & Computer Science,2013/14,SEM2
BBC4911,Advanced Mathematics 1,1,School of Engineering & Computer Science,2013/14,SEM1
SEF015,Discrete Mathematics [Foundation],64,School of Biological and Chemical Sciences,2013/14,SEM2
SEF024,Introduction to Engineering,31,School of Biological and Chemical Sciences,2013/14,SEM2
SEF026,Essential Foundation Mathematical Skills,80,School of Biological and Chemical Sciences,2013/14,SEM1
SEF028,Business Management,3,School of Biological and Chemical Sciences,2013/14,SEM2
SEF030,Communication in Science and Technology,119,School of Biological and Chemical Sciences,2013/14,SEM1
SEF030,Communication in Science and Technology,8,School of Biological and Chemical Sciences,2013/14,SEM2
SEF031,Form and Function in Biology,37,School of Biological and Chemical Sciences,2013/14,SEM1
SEF031,Form and Function in Biology,0,School of Biological and Chemical Sciences,2013/14,SEM1
SEF032,Molecules to Cells,38,School of Biological and Chemical Sciences,2013/14,SEM2
SEF033,Diversity and Ecology,20,School of Biological and Chemical Sciences,2013/14,SEM2
SEJ001,Mathematics I,0,School of Biological and Chemical Sciences,2013/14,SEM2
SEJ001,Mathematics I,0,School of Biological and Chemical Sciences,2013/14,SEM3
SEJ002,Mathematics II,0,School of Biological and Chemical Sciences,2013/14,SEM3
ECS706U,Advanced Transform Methods,15,School of Engineering & Computer Science,2013/14,SEM1
ECS707D,Fundamentals of DSP,7,School of Engineering & Computer Science,2013/14,SEM1
ECS707P,Fundamentals of DSP,1,School of Engineering & Computer Science,2013/14,SEM1
ECS708D,Machine Learning,3,School of Engineering & Computer Science,2013/14,SEM1
ECS708P,Machine Learning,4,School of Engineering & Computer Science,2013/14,SEM1
ECS708U,Machine Learning,12,School of Engineering & Computer Science,2013/14,SEM1
ECS709D,Introduction to Computer Vision,2,School of Engineering & Computer Science,2013/14,SEM1
ECS709P,Introduction to Computer Vision,5,School of Engineering & Computer Science,2013/14,SEM1
ECS709U,Introduction to Computer Vision,7,School of Engineering & Computer Science,2013/14,SEM1
ECS710D,XML and Structured Documents,0,School of Engineering & Computer Science,2013/14,SEM1
ECS710P,XML and Structured Documents,2,School of Engineering & Computer Science,2013/14,SEM1
ECS710U,XML and Structured Documents,1,School of Engineering & Computer Science,2013/14,SEM1
ECS711D,Advanced Program Design,0,School of Engineering & Computer Science,2013/14,SEM1
ECS711P,Advanced Program Design,2,School of Engineering & Computer Science,2013/14,SEM1
ECS712D,Design for Human Interaction,0,School of Engineering & Computer Science,2013/14,SEM1
ECS712P,Design for Human Interaction,0,School of Engineering & Computer Science,2013/14,SEM1
ECS712U,Design for Human Interaction,2,School of Engineering & Computer Science,2013/14,SEM1
ECS713D,Functional Programming,0,School of Engineering & Computer Science,2013/14,SEM1
ECS713P,Functional Programming,1,School of Engineering & Computer Science,2013/14,SEM1
ECS713U,Functional Programming,0,School of Engineering & Computer Science,2013/14,SEM1
ECS715D,Program Specifications,0,School of Engineering & Computer Science,2013/14,SEM1
ECS715P,Program Specifications,1,School of Engineering & Computer Science,2013/14,SEM1
ECS715U,Program Specifications,0,School of Engineering & Computer Science,2013/14,SEM1
ECS716D,Advanced Database Systems and Technology,0,School of Engineering & Computer Science,2013/14,SEM1
ECS716P,Advanced Database Systems and Technology,0,School of Engineering & Computer Science,2013/14,SEM1
ECS717D,IT Programming,0,School of Engineering & Computer Science,2013/14,SEM1
ECS717P,IT Programming,0,School of Engineering & Computer Science,2013/14,SEM1
ECS718D,Information Systems,0,School of Engineering & Computer Science,2013/14,SEM1
QLLM152,International Energy Transactions,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
ADPM002,Developing Learning and Teaching in Medicine and Dentistry,0,The Learning Institute,2013/14,YEAR
QLLP003,"Branding, Luxury Goods and Intellectual Property",0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP004A,Introduction to Corporate Finance Law,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP005,Digital Intellectual Property Law,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP006,Ethics in Business and Finance,1,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP011A,International Commercial Litigation,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP011B,European and Comparative Conflict of Laws,2,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP012,International Construction Contracts and Dispute Resolution,1,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP013A,Legal Aspects of International Finance,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP014,Licensing Intellectual Property,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP015,"Personality, Publicity and Celebrity Rights",0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP016A,Regulation of Financial Markets,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP017A,Law of the World Trade Organisation,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP018,Financial Models and Derivatives in a Legal Context I,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
QLLP019,Financial Models and Derivatives in a Legal Context II,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP032,International Arbitration and Energy,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP033,International Commercial Arbitration (Skills and Advocacy),0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP034,International Commercial Law,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP035,International Insolvency and Debt Restructuring,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP036,International Investment Arbitration,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
QLLP037,International Commercial Arbitration(Applicable Laws and Procedures),0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
GEG6128,Geographies of Nature,16,School of Geography,2013/14,SEM2
PHY913,Physics Review Project,24,School of Physics & Astronomy,2013/14,YEAR
PHY6312,Frontiers of Condensed Matter Physics,1,School of Physics & Astronomy,2013/14,SEM2
PHY6324,Mathematical Techniques 4,27,School of Physics & Astronomy,2013/14,SEM1
PHY6324,Mathematical Techniques 4,1,School of Physics & Astronomy,2013/14,SEM1
AST741P,Research Methods for Astrophysics,22,School of Physics & Astronomy,2013/14,SEM1
PHY7017P,Phase Transitions,0,School of Physics & Astronomy,2013/14,SEM1
WHR6026,Literature Reviewing,22,William Harvey Research Institute,2013/14,YEAR
WHR7001,Generic Skills and Core Knowledge,51,William Harvey Research Institute,2013/14,SEM1
WHR7002,Hypothalamus and Pituitary,51,William Harvey Research Institute,2013/14,SEM1
WHR7003,"Thyroid, Parathyroids and Bone",51,William Harvey Research Institute,2013/14,SEM2
WHR7004,"Reproductive, Pregnancy and Paediatric Endocrinology",51,William Harvey Research Institute,2013/14,SEM2
WHR7005,"Metabolism, Energy Balance and Lipids",51,William Harvey Research Institute,2013/14,SEM3
WHR7006,Adrenal Cortex and Medulla,51,William Harvey Research Institute,2013/14,SEM3
WHR7007,"Genetics, Oncology and Neuroendocrine Tumours",25,William Harvey Research Institute,2013/14,SEM1
WHR7008,Diabetes Mellitus,25,William Harvey Research Institute,2013/14,SEM1
WHR7009,Research Project for MSc in Endocrinology and Diabetes,0,William Harvey Research Institute,2013/14,YEAR
WHR7010,Pathophysiological Basis of Critical Illness,10,William Harvey Research Institute,2013/14,SEM1
WHR7011,Supportive Care for Failing Organ Function,10,William Harvey Research Institute,2013/14,SEM1
WHR7012,Care of the Unconscious Patient,10,William Harvey Research Institute,2013/14,SEM1
WHR7013,"Decision-making, Communication and Ethics",10,William Harvey Research Institute,2013/14,SEM1
WHR7014,Research and Audit Methodology,10,William Harvey Research Institute,2013/14,SEM2
WHR7015,Special Patient Groups,10,William Harvey Research Institute,2013/14,SEM2
WHR7016,Neurocritical Care and Trauma Management,10,William Harvey Research Institute,2013/14,SEM2
WHR7017,Clinical Observership,10,William Harvey Research Institute,2013/14,SEM2
WHR7018,Dissertation,10,William Harvey Research Institute,2013/14,YEAR
MTH5123,Differential Equations,169,School of Mathematical Sciences,2013/14,SEM2
DEN6007,Data Acquisition and Processing,6,School of Engineering & Material Science,2013/14,SEM1
ECS754D,MSc by Research Project,0,School of Engineering & Computer Science,2013/14,YEAR
ECS755D,MSc Advanced Placement Project,0,School of Engineering & Computer Science,2013/14,YEAR
DIN7085,Principles of Oral Health Planning,0,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7086,Oral Health Promotion,0,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7087,"Oral Health, Illness and Society",0,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7100,Cariology and Management of the Deep Carious Lesion,4,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7101,Occlusion and TMJD,4,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7102,Endodontics and Periodontics in relation to Prosthodontics,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7103,Biomaterials in Prosthodontics,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7104,Adhesive Dentistry,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7105,Diagnosis and Treatment Planning 1,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7106,Management of Tooth Wear,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7107,Fixed Partial Dentures (Adhesive and Conventional),4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7108,Removable Partial Dentures and Prefabricated Attachments,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7109,Complete Dentures,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7110,Diagnosis and Treatment Planning 2,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7111,Implants and Prosthodontics,0,Dental School / Institute of Dentistry,2013/14,YEAR
ESH376,"Gender, Race and Empire in Womens's Writing 1780 - 1900",18,School of English & Drama - Department of English,2013/14,SEM2
CCLE014,Corporate Insolvency Law,1,School of Law / Centre for Commercial Law Studies,2013/14,YEAR
BUSM014,Quantitative Research Methods,10,School of Business & Management,2013/14,SEM1
MELM008,Analogue Electronics,6,School of Engineering & Material Science,2013/14,SEM1
GEG5113,"Health, Biomedicine and Society",32,School of Geography,2013/14,YEAR
SEF001,Mathematics I,94,School of Biological and Chemical Sciences,2013/14,SEM1
SEF001,Mathematics I,33,School of Biological and Chemical Sciences,2013/14,SEM2
SEF001,Mathematics I,0,School of Biological and Chemical Sciences,2013/14,SEM1
SEF002,Mathematics II,56,School of Biological and Chemical Sciences,2013/14,SEM2
SEF003,Introductory Chemistry,52,School of Biological and Chemical Sciences,2013/14,SEM1
SEF003,Introductory Chemistry,0,School of Biological and Chemical Sciences,2013/14,SEM1
SEF004,A Closer Look at Chemistry,49,School of Biological and Chemical Sciences,2013/14,SEM2
SEF005,Physics (Mechanics and Materials),87,School of Biological and Chemical Sciences,2013/14,SEM1
SEF005,Physics (Mechanics and Materials),2,School of Biological and Chemical Sciences,2013/14,SEM1
SEF006,Physics (Fields and Waves),53,School of Biological and Chemical Sciences,2013/14,SEM2
SEF007,Physics (Electricity and Atomic Physics),79,School of Biological and Chemical Sciences,2013/14,SEM2
SEF009,English Language I,45,School of Biological and Chemical Sciences,2013/14,SEM1
SEF014,Principles of Mathematics,71,School of Biological and Chemical Sciences,2013/14,SEM1
SEF014,Principles of Mathematics,0,School of Biological and Chemical Sciences,2013/14,SEM1
MTH5117,Mathematical Writing,0,School of Mathematical Sciences,2013/14,SEM1
MTH5120,Statistical Modelling I,175,School of Mathematical Sciences,2013/14,SEM2
MTH5121,Probability Models,197,School of Mathematical Sciences,2013/14,SEM1
MTH5121,Probability Models,1,School of Mathematical Sciences,2013/14,SEM1
MTH5122,Statistical Methods,199,School of Mathematical Sciences,2013/14,SEM1
MTH5122,Statistical Methods,2,School of Mathematical Sciences,2013/14,SEM1
MTH6100,Actuarial Mathematics,179,School of Mathematical Sciences,2013/14,SEM2
MTH6103,Advanced Statistics Project,1,School of Mathematical Sciences,2013/14,YEAR
MTH6104,Algebraic Structures II,29,School of Mathematical Sciences,2013/14,SEM1
MTH6104,Algebraic Structures II,0,School of Mathematical Sciences,2013/14,SEM1
MTH6107,Chaos and Fractals,22,School of Mathematical Sciences,2013/14,SEM1
MTH6107,Chaos and Fractals,2,School of Mathematical Sciences,2013/14,SEM1
MTH6108,Coding Theory,65,School of Mathematical Sciences,2013/14,SEM1
MTH6108,Coding Theory,0,School of Mathematical Sciences,2013/14,SEM1
MTH6109,Combinatorics,72,School of Mathematical Sciences,2013/14,SEM1
MTH6109,Combinatorics,3,School of Mathematical Sciences,2013/14,SEM1
MTH6110,Communicating and Teaching Mathematics: the Undergraduate Ambassadors Scheme,26,School of Mathematical Sciences,2013/14,SEM2
PHY6310,Fluid Dynamics,0,School of Physics & Astronomy,2013/14,SEM1
PHY709,Independent Project,0,School of Physics & Astronomy,2013/14,SEM1
PHY6543,Group Project for Physicists,20,School of Physics & Astronomy,2013/14,SEM2
PHY6311,Physical Cosmology,39,School of Physics & Astronomy,2013/14,SEM2
WHR6001,Molecular Medicine,0,William Harvey Research Institute,2013/14,SEM1
WHR6002,Molecular Therapeutics,0,William Harvey Research Institute,2013/14,SEM1
WHR6003,Molecular Medicine Project,0,William Harvey Research Institute,2013/14,YEAR
WHR6004,Molecular Therapeutics Project,0,William Harvey Research Institute,2013/14,YEAR
WHR6005,Forensic Medical,0,William Harvey Research Institute,2013/14,SEM2
WHR6006,Neuroendocrinology,0,William Harvey Research Institute,2013/14,SEM2
WHR6007,Immunology,0,William Harvey Research Institute,2013/14,SEM2
WHR6008,Cutaneous Biology,0,William Harvey Research Institute,2013/14,SEM2
WHR6009,Inflammation Therapeutics,0,William Harvey Research Institute,2013/14,SEM2
WHR6010,Vascular Pharmacology,0,William Harvey Research Institute,2013/14,SEM2
WHR6011,Clinical Pharmacology,0,William Harvey Research Institute,2013/14,SEM2
WHR6012,Medical Genetics,0,William Harvey Research Institute,2013/14,SEM2
WHR6020,Injuries and Medical Problems in Sport,3,William Harvey Research Institute,2013/14,SEM1
WHR6021,Biomechanics and Rehabilitation,3,William Harvey Research Institute,2013/14,SEM2
WHR6022,Exercise as a Health Tool,3,William Harvey Research Institute,2013/14,SEM2
WHR6023,Research Methods in Sports and Exercise Medicine,3,William Harvey Research Institute,2013/14,SEM1
WHR6025,The Sports and Exercise Medicine Research Project,22,William Harvey Research Institute,2013/14,SEM2
MAT6312,Science of Biocompatibility,32,School of Engineering & Material Science,2013/14,SEM2
DIN7076,Imaging in Relation to Oral Surgery,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7077,Oral Implantology,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7078,OMFS/Oral Surgery Interface,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7079,Orthodontics in Relation to Oral Surgery,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7080,Special Care Dentistry in Relation to Oral Surgery,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7081,Clinical Audit,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7082,Research Project (Oral Surgery),0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7083,Advanced Research Methods,0,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7084,Global Oral Health Epidemiology,0,Dental School / Institute of Dentistry,2013/14,SEM1
MTH6111,Complex Analysis,27,School of Mathematical Sciences,2013/14,SEM2
MTH6115,Cryptography,76,School of Mathematical Sciences,2013/14,SEM2
MTH6116,Design of Experiments,28,School of Mathematical Sciences,2013/14,SEM2
MTH6120,Further Topics in Mathematical Finance,135,School of Mathematical Sciences,2013/14,SEM2
MTH6121,Introduction to Mathematical Finance,197,School of Mathematical Sciences,2013/14,SEM1
MTH6121,Introduction to Mathematical Finance,1,School of Mathematical Sciences,2013/14,SEM1
MTH6124,Mathematical Problem Solving,16,School of Mathematical Sciences,2013/14,SEM2
MTH6126,Metric Spaces,15,School of Mathematical Sciences,2013/14,SEM1
MTH6126,Metric Spaces,1,School of Mathematical Sciences,2013/14,SEM1
MTH6128,Number Theory,115,School of Mathematical Sciences,2013/14,SEM2
MTH6129,"Oscillations, Waves and Patterns",31,School of Mathematical Sciences,2013/14,SEM2
PHY776,Extended Independent Project,68,School of Physics & Astronomy,2013/14,YEAR
MTH5102,Calculus III,180,School of Mathematical Sciences,2013/14,SEM1
MTH5102,Calculus III,0,School of Mathematical Sciences,2013/14,SEM1
PHY4121,Mathematical Techniques I,133,School of Physics & Astronomy,2013/14,SEM1
PHY4122,Mathematical Techniques 2,132,School of Physics & Astronomy,2013/14,SEM2
PHY4215,Quantum Physics,132,School of Physics & Astronomy,2013/14,SEM2
PHY4210,Electric and Magnetic Fields,133,School of Physics & Astronomy,2013/14,SEM2
PHY4101,Our Universe,50,School of Physics & Astronomy,2013/14,SEM2
PHY4321,Introduction to C++ programming,84,School of Physics & Astronomy,2013/14,SEM2
PHY4116,From Newton to Einstein,0,School of Physics & Astronomy,2013/14,SEM1
PHY4121,Mathematical Techniques I,0,School of Physics & Astronomy,2013/14,SEM1
PHY4217,Waves and Oscillations,1,School of Physics & Astronomy,2013/14,SEM1
PHY5218,Mathematical Techniques 3,66,School of Physics & Astronomy,2013/14,SEM1
PHY5218,Mathematical Techniques 3,0,School of Physics & Astronomy,2013/14,SEM1
PHY5214,Thermal and Kinetic Physics,90,School of Physics & Astronomy,2013/14,SEM1
PHY5214,Thermal and Kinetic Physics,3,School of Physics & Astronomy,2013/14,SEM1
PHY5302,Nuclear Physics and Astrophysics,90,School of Physics & Astronomy,2013/14,SEM1
PHY5302,Nuclear Physics and Astrophysics,1,School of Physics & Astronomy,2013/14,SEM1
PHY5241,Planetary Systems,24,School of Physics & Astronomy,2013/14,SEM1
PHY5201,Physics Laboratory,59,School of Physics & Astronomy,2013/14,SEM2
PHY5250,Physics of Energy and the Environment,23,School of Physics & Astronomy,2013/14,SEM2
PHY5307,Stars,28,School of Physics & Astronomy,2013/14,SEM2
PHY305,The Physics of Galaxies,32,School of Physics & Astronomy,2013/14,SEM1
PHY308,"Space, Time and Gravity",5,School of Physics & Astronomy,2013/14,SEM1
PHY328,Statistical Data Analysis,0,School of Physics & Astronomy,2013/14,SEM1
PHY413,Quantum Mechanics B,81,School of Physics & Astronomy,2013/14,SEM1
PHY413,Quantum Mechanics B,1,School of Physics & Astronomy,2013/14,SEM1
PHY309,Radiation Detectors,29,School of Physics & Astronomy,2013/14,SEM1
PHY6310,Fluid Dynamics,0,School of Physics & Astronomy,2013/14,SEM1
CHE206,Pharmaceutical Chemistry,31,School of Biological and Chemical Sciences,2013/14,YEAR
CHE206A,Pharmaceutical Chemistry (Sem A),1,School of Biological and Chemical Sciences,2013/14,SEM1
CHE206B,Pharmaceutical Chemistry (Sem B),0,School of Biological and Chemical Sciences,2013/14,SEM2
WOFM904,Psychological Therapies,44,Wolfson Institute of Preventive Medicine,2013/14,SEM2
WOFM905,The Mental Health Act and Mental Capacity Act,1,Wolfson Institute of Preventive Medicine,2013/14,SEM2
WOFM906,Psychological Processes and Legal Decision Making,1,Wolfson Institute of Preventive Medicine,2013/14,SEM2
WOFM907,Gathering and Giving Evidence: Court Reports and Exper Witness,1,Wolfson Institute of Preventive Medicine,2013/14,SEM2
WOFM908,International Mental Health and Human Rights,1,Wolfson Institute of Preventive Medicine,2013/14,SEM2
ECS638U,Design for Human Interaction,42,School of Engineering & Computer Science,2013/14,SEM1
WHR7020,Sports Injury Management,7,William Harvey Research Institute,2013/14,SEM2
WHR7021,Sports Injury Treatment,0,William Harvey Research Institute,2013/14,SEM1
WHR7022,Sport Injury Assessment 1,6,William Harvey Research Institute,2013/14,SEM1
WHR7023,Podiatry and Biomechanics,6,William Harvey Research Institute,2013/14,SEM1
WHR7024,Medical Problems in Sport,6,William Harvey Research Institute,2013/14,SEM2
WHR7025,Sports Injury Rehabilitation,0,William Harvey Research Institute,2013/14,SEM2
WHR7026,Research Methods,6,William Harvey Research Institute,2013/14,SEM1
WHR7027,Exercise as a Health Tool,6,William Harvey Research Institute,2013/14,SEM2
WHR7028,Sports Injury Assessment 2,6,William Harvey Research Institute,2013/14,SEM2
WHR7029,Exercise Physiology and Team Medicine,6,William Harvey Research Institute,2013/14,SEM1
WHR7030,Dissertation,5,William Harvey Research Institute,2013/14,YEAR
WHR7031,Football Medicine and Science,0,William Harvey Research Institute,2013/14,SEM2
WHR7032,Dance Medicine,0,William Harvey Research Institute,2013/14,SEM2
CHE101B,Foundations of Practical Chemistry (Sem B),0,School of Biological and Chemical Sciences,2013/14,SEM2
DEN6407,Intercalated Research Project,1,School of Engineering & Material Science,2013/14,YEAR
MTH5103,Complex Variables,179,School of Mathematical Sciences,2013/14,SEM2
MTH5104,Convergence and Continuity,91,School of Mathematical Sciences,2013/14,SEM1
MTH5104,Convergence and Continuity,1,School of Mathematical Sciences,2013/14,SEM1
MTH5105,Differential and Integral Analysis,69,School of Mathematical Sciences,2013/14,SEM2
MTH5109,Geometry II: Knots and Surfaces,64,School of Mathematical Sciences,2013/14,SEM1
MTH5109,Geometry II: Knots and Surfaces,1,School of Mathematical Sciences,2013/14,SEM1
MTH5110,Introduction to Numerical Computing,60,School of Mathematical Sciences,2013/14,SEM2
MTH5112,Linear Algebra I,241,School of Mathematical Sciences,2013/14,SEM1
MTH5112,Linear Algebra I,4,School of Mathematical Sciences,2013/14,SEM1
MTH5117,Mathematical Writing,59,School of Mathematical Sciences,2013/14,SEM1
DRA307,Feeling It: Emotion and Sensation in the Theatre,21,School of English & Drama - Department of Drama,2013/14,SEM1
DRA310,Performance Composition,12,School of English & Drama - Department of Drama,2013/14,SEM2
DRA312,Places of Performance,20,School of English & Drama - Department of Drama,2013/14,SEM1
DRA316,Shakespeare After Shakespeare,18,School of English & Drama - Department of Drama,2013/14,SEM2
DRA329,Written Research Project,18,School of English & Drama - Department of Drama,2013/14,SEM2
DRA332,"Performance, Sexuality, Identity",19,School of English & Drama - Department of Drama,2013/14,SEM1
DRA333,Offstage London,16,School of English & Drama - Department of Drama,2013/14,SEM2
DRA336,Managing Theatre,12,School of English & Drama - Department of Drama,2013/14,SEM1
DRA337,Performance and Community,8,School of English & Drama - Department of Drama,2013/14,SEM2
DRA339,Applied Performance,13,School of English & Drama - Department of Drama,2013/14,SEM1
DRA341,Performance and Celebrity,15,School of English & Drama - Department of Drama,2013/14,SEM2
CANM902,Cancer Biology,21,Barts Cancer Institute,2013/14,SEM1
CANM903,Cancer Pharmacology,21,Barts Cancer Institute,2013/14,SEM1
CANM904,Site Specific Tumour Treatment,17,Barts Cancer Institute,2013/14,SEM2
CANM905,Ablative Therapy,17,Barts Cancer Institute,2013/14,SEM2
CANM906,Drug Development,21,Barts Cancer Institute,2013/14,SEM2
CANM907,Biological Therapies,25,Barts Cancer Institute,2013/14,SEM2
CANM908,Imaging,3,Barts Cancer Institute,2013/14,SEM2
CANM909,Pathology of Cancer,18,Barts Cancer Institute,2013/14,SEM1
CANM911,Paediatric and Adolescent Oncology,16,Barts Cancer Institute,2013/14,SEM2
CANM912,Cancer Prevention and Screening,24,Barts Cancer Institute,2013/14,SEM2
CANM913,Dissertation,26,Barts Cancer Institute,2013/14,YEAR
CANM915,Basic Pathology,8,Barts Cancer Institute,2013/14,SEM1
CANM917,Basic Molecular Biology,8,Barts Cancer Institute,2013/14,SEM1
CANM920,Genomic Approaches to Human Diseases,12,Barts Cancer Institute,2013/14,SEM2
CANM921,Molecular Diagnostics and Therapeutics,9,Barts Cancer Institute,2013/14,SEM2
CANM924,Molecular Pathology of Solid Tumours,8,Barts Cancer Institute,2013/14,SEM2
WOFM902,Transcultural Mental Health,6,Wolfson Institute of Preventive Medicine,2013/14,SEM2
CANM933,Introduction to Bioinformatics,4,Barts Cancer Institute,2013/14,SEM2
CANM935,Molecular Targeted Therapies and Immunotherapy for Blood Cancers,0,Barts Cancer Institute,2013/14,SEM2
WOFM901,Advanced Mental Health Assessment,51,Wolfson Institute of Preventive Medicine,2013/14,SEM1
WOFM903,Research Methods,52,Wolfson Institute of Preventive Medicine,2013/14,YEAR
CANM901,Research Skills and Sciences,26,Barts Cancer Institute,2013/14,SEM1
POLM051,"Rethinking the Political Subject: Subject, Citizen, Mass, Multitude",0,School of Politics & International Relations,2013/14,SEM1
DIN7060,Introduction to Periodontics,0,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7061,Scientific Basis for Periodontology,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7062,"Assessment, Diagnosis and Treatment Planning",0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7063,Clinical Periodontology,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7064,Surgical Management of Periodontal Disease,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7065,Non-Surgical Management of Periodontal Disease,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7066,Complex Case Management,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7067,Research Project (Periodontology),0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7070,Basic Medical Sciences,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7071,Systemic Disease in Relation to Oral Surgery,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7072,"Anaesthesia, Sedation and Pain Management",0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7073,Principles of Oral Diseases and Oral Surgery Patient Management,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7074,Oral Surgery Clinical Care,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7075,Oral Medicine,0,Dental School / Institute of Dentistry,2013/14,YEAR
MAT7797,Advanced Polymer Synthesis,8,School of Engineering & Material Science,2013/14,SEM2
MTH4100,Calculus I,276,School of Mathematical Sciences,2013/14,SEM1
MTH4100,Calculus I,1,School of Mathematical Sciences,2013/14,SEM1
MTH4101,Calculus II,276,School of Mathematical Sciences,2013/14,SEM2
MTH4103,Geometry I,277,School of Mathematical Sciences,2013/14,SEM2
MTH4104,Introduction to Algebra,234,School of Mathematical Sciences,2013/14,SEM2
MTH4105,Introduction to Mathematical Computing,182,School of Mathematical Sciences,2013/14,SEM1
MTH4105,Introduction to Mathematical Computing,0,School of Mathematical Sciences,2013/14,SEM1
MTH4106,Introduction to Statistics,295,School of Mathematical Sciences,2013/14,SEM2
MTH4107,Introduction to Probability,294,School of Mathematical Sciences,2013/14,SEM1
MTH4107,Introduction to Probability,6,School of Mathematical Sciences,2013/14,SEM1
MTH4110,Mathematical Structures,295,School of Mathematical Sciences,2013/14,SEM1
MTH4110,Mathematical Structures,0,School of Mathematical Sciences,2013/14,SEM1
MTH5100,Algebraic Structures I,99,School of Mathematical Sciences,2013/14,SEM2
DRA108,Theatre and its Others,101,School of English & Drama - Department of Drama,2013/14,SEM2
DRA109,London/Culture/Performance,101,School of English & Drama - Department of Drama,2013/14,SEM1
